freq;unit;vehicle;geo\TIME_PERIOD,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;NR;ANI_RD;BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,0 ,1 ,1 ,0 ,0 ,0 
A;NR;ANI_RD;BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9 ,7 ,12 ,5 ,3 ,5 ,6 ,5 ,6 
A;NR;ANI_RD;DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
A;NR;ANI_RD;EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 
A;NR;ANI_RD;HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,0 
A;NR;ANI_RD;HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3 ,6 ,5 ,0 ,2 ,2 ,3 ,1 ,1 
A;NR;ANI_RD;IS,: ,: ,: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,: ,0 ,: 
A;NR;ANI_RD;IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,3 ,2 ,0 ,1 ,2 ,1 ,1 ,0 
A;NR;ANI_RD;LV,: ,: ,: ,: ,: ,1 ,: ,: ,: ,: ,0 ,2 ,: ,: ,0 ,1 ,: ,: ,: ,: 
A;NR;ANI_RD;MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,: ,: 
A;NR;ANI_RD;NO,: ,: ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,: 
A;NR;ANI_RD;PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,3 ,1 ,1 ,1 ,5 ,0 ,2 ,: 
A;NR;ANI_RD;UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3 ,4 ,4 ,2 ,1 ,0 ,0 ,0 ,3 
A;NR;BIKE;AT,68 ,62 ,55 ,80 ,56 ,58 ,47 ,48 ,37 ,62 ,39 ,32 ,42 ,52 ,52 ,45 ,39 ,48 ,32 ,41 
A;NR;BIKE;BE,122 ,134 ,130 ,105 ,110 ,79 ,71 ,92 ,90 ,86 ,89 ,73 ,70 ,69 ,83 ,82 ,90 ,81 ,76 ,89 
A;NR;BIKE;BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,35 ,29 ,27 ,17 ,32 ,31 ,29 ,29 ,35 ,22 ,21 
A;NR;BIKE;CH,: ,: ,38 ,26 ,48 ,42 ,37 ,35 ,30 ,27 ,54 ,34 ,39 ,36 ,21 ,34 ,39 ,33 ,37 ,39 
A;NR;BIKE;CY,: ,: ,: ,: ,: ,: ,1 ,2 ,3 ,6 ,2 ,2 ,2 ,1 ,2 ,1 ,1 ,0 ,4 ,1 
A;NR;BIKE;CZ,142 ,151 ,141 ,160 ,159 ,131 ,115 ,110 ,116 ,93 ,84 ,80 ,63 ,78 ,74 ,68 ,84 ,53 ,57 ,56 
A;NR;BIKE;DE,: ,659 ,635 ,583 ,616 ,475 ,575 ,486 ,425 ,456 ,462 ,381 ,399 ,406 ,354 ,396 ,383 ,393 ,382 ,445 
A;NR;BIKE;DK,59 ,58 ,56 ,52 ,47 ,53 ,41 ,31 ,54 ,54 ,25 ,26 ,30 ,22 ,33 ,30 ,26 ,31 ,27 ,28 
A;NR;BIKE;EE,: ,: ,: ,: ,: ,: ,7 ,13 ,13 ,9 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,1 ,3 
A;NR;BIKE;EL,23 ,22 ,29 ,14 ,21 ,24 ,18 ,21 ,16 ,22 ,15 ,23 ,13 ,21 ,15 ,19 ,11 ,18 ,11 ,12 
A;NR;BIKE;ES,118 ,81 ,97 ,93 ,75 ,85 ,78 ,68 ,86 ,55 ,55 ,63 ,47 ,72 ,68 ,74 ,58 ,67 ,78 ,58 
A;NR;BIKE;FI,63 ,53 ,59 ,53 ,39 ,26 ,43 ,29 ,22 ,18 ,20 ,26 ,19 ,19 ,20 ,27 ,31 ,26 ,23 ,21 
A;NR;BIKE;FR,321 ,266 ,253 ,221 ,199 ,174 ,180 ,181 ,142 ,148 ,162 ,147 ,141 ,164 ,147 ,159 ,149 ,162 ,173 ,175 
A;NR;BIKE;HR,: ,: ,: ,: ,: ,: ,: ,: ,28 ,47 ,29 ,28 ,28 ,21 ,23 ,19 ,34 ,27 ,23 ,22 
A;NR;BIKE;HU,: ,: ,: ,: ,178 ,183 ,152 ,153 ,158 ,109 ,103 ,92 ,85 ,84 ,68 ,98 ,83 ,73 ,81 ,68 
A;NR;BIKE;IE,14 ,10 ,12 ,18 ,10 ,11 ,10 ,9 ,15 ,13 ,7 ,5 ,9 ,8 ,5 ,13 ,10 ,10 ,: ,: 
A;NR;BIKE;IS,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 
A;NR;BIKE;IT,402 ,401 ,366 ,326 ,355 ,322 ,335 ,311 ,352 ,288 ,295 ,265 ,282 ,292 ,251 ,273 ,251 ,275 ,254 ,219 
A;NR;BIKE;LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,18 ,19 ,22 ,: ,: ,: 
A;NR;BIKE;LU,0 ,1 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,1 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,3 
A;NR;BIKE;LV,: ,: ,: ,: ,: ,30 ,31 ,33 ,18 ,15 ,26 ,13 ,15 ,18 ,13 ,16 ,9 ,7 ,11 ,9 
A;NR;BIKE;MT,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,0 ,1 ,0 ,1 
A;NR;BIKE;NL,194 ,198 ,195 ,169 ,188 ,157 ,151 ,179 ,147 ,145 ,138 ,119 ,144 ,145 ,112 ,118 ,107 ,101 ,101 ,122 
A;NR;BIKE;NO,: ,: ,6 ,12 ,14 ,10 ,7 ,8 ,7 ,10 ,9 ,5 ,12 ,12 ,10 ,12 ,5 ,12 ,9 ,: 
A;NR;BIKE;PL,: ,692 ,610 ,681 ,647 ,691 ,603 ,509 ,498 ,433 ,371 ,280 ,314 ,300 ,306 ,286 ,300 ,271 ,220 ,: 
A;NR;BIKE;PT,40 ,55 ,51 ,56 ,61 ,46 ,47 ,39 ,32 ,41 ,28 ,33 ,45 ,32 ,29 ,35 ,25 ,33 ,25 ,: 
A;NR;BIKE;RO,126 ,157 ,145 ,132 ,156 ,130 ,206 ,198 ,179 ,179 ,157 ,182 ,140 ,154 ,161 ,151 ,162 ,176 ,191 ,181 
A;NR;BIKE;SE,45 ,47 ,43 ,42 ,35 ,27 ,38 ,26 ,33 ,30 ,20 ,21 ,21 ,28 ,14 ,33 ,17 ,22 ,26 ,23 
A;NR;BIKE;SI,: ,26 ,16 ,18 ,0 ,22 ,19 ,15 ,17 ,17 ,18 ,17 ,16 ,12 ,16 ,13 ,14 ,12 ,11 ,8 
A;NR;BIKE;SK,: ,: ,69 ,61 ,72 ,66 ,56 ,52 ,61 ,46 ,22 ,27 ,: ,: ,: ,: ,: ,: ,: ,: 
A;NR;BIKE;UK,173 ,131 ,140 ,133 ,116 ,136 ,152 ,147 ,138 ,117 ,104 ,111 ,109 ,120 ,113 ,116 ,100 ,105 ,103 ,100 
A;NR;BUS;AT,21 ,13 ,14 ,5 ,0 ,9 ,2 ,8 ,4 ,2 ,2 ,8 ,0 ,2 ,0 ,1 ,0 ,1 ,0 ,2 
A;NR;BUS;BE,4 ,8 ,9 ,9 ,1 ,5 ,0 ,0 ,4 ,2 ,1 ,0 ,2 ,9 ,0 ,1 ,2 ,0 ,1 ,2 
A;NR;BUS;BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,5 ,5 ,3 ,11 ,2 ,1 ,4 ,3 ,5 ,14 ,28 
A;NR;BUS;CH,: ,: ,1 ,0 ,1 ,0 ,13 ,0 ,0 ,3 ,0 ,2 ,2 ,31 ,0 ,0 ,0 ,1 ,0 ,: 
A;NR;BUS;CY,: ,: ,: ,: ,: ,: ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
A;NR;BUS;CZ,15 ,2 ,7 ,6 ,29 ,17 ,0 ,10 ,2 ,0 ,3 ,1 ,4 ,2 ,2 ,3 ,1 ,0 ,4 ,3 
A;NR;BUS;DE,: ,9 ,11 ,12 ,17 ,16 ,9 ,12 ,24 ,10 ,11 ,32 ,10 ,2 ,9 ,5 ,4 ,3 ,4 ,7 
A;NR;BUS;DK,1 ,4 ,2 ,4 ,10 ,1 ,3 ,3 ,3 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: 
A;NR;BUS;EE,: ,: ,: ,: ,: ,: ,1 ,1 ,0 ,0 ,2 ,4 ,1 ,2 ,2 ,8 ,1 ,1 ,0 ,1 
A;NR;BUS;EL,13 ,9 ,4 ,9 ,38 ,8 ,8 ,4 ,0 ,4 ,0 ,2 ,4 ,8 ,2 ,2 ,3 ,0 ,0 ,0 
A;NR;BUS;ES,38 ,42 ,47 ,12 ,23 ,3 ,22 ,33 ,13 ,26 ,18 ,3 ,3 ,3 ,11 ,26 ,2 ,21 ,3 ,12 
A;NR;BUS;FI,5 ,0 ,3 ,3 ,0 ,24 ,2 ,2 ,0 ,0 ,1 ,0 ,2 ,: ,: ,: ,: ,: ,: ,: 
A;NR;BUS;FR,8 ,19 ,13 ,10 ,16 ,20 ,15 ,8 ,35 ,20 ,5 ,4 ,0 ,7 ,7 ,9 ,1 ,8 ,2 ,0 
A;NR;BUS;HR,: ,: ,: ,: ,: ,: ,: ,: ,6 ,17 ,0 ,0 ,0 ,8 ,1 ,0 ,1 ,: ,1 ,: 
A;NR;BUS;HU,: ,: ,: ,: ,38 ,6 ,4 ,14 ,14 ,3 ,3 ,12 ,30 ,3 ,6 ,1 ,1 ,10 ,3 ,3 
A;NR;BUS;IE,1 ,0 ,0 ,1 ,0 ,0 ,5 ,3 ,1 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,: ,: 
A;NR;BUS;IT,20 ,17 ,19 ,18 ,23 ,25 ,12 ,24 ,18 ,11 ,2 ,7 ,2 ,0 ,1 ,1 ,3 ,0 ,1 ,4 
A;NR;BUS;LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,1 ,: ,: ,: 
A;NR;BUS;LU,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NR;BUS;LV,: ,: ,: ,: ,: ,10 ,2 ,1 ,3 ,1 ,1 ,3 ,1 ,: ,: ,0 ,0 ,0 ,0 ,1 
A;NR;BUS;MT,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,0 ,0 ,0 ,0 
A;NR;BUS;NL,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,3 ,0 ,1 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 
A;NR;BUS;NO,: ,: ,3 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,3 ,3 ,1 ,1 ,2 ,: 
A;NR;BUS;PL,: ,50 ,59 ,43 ,51 ,43 ,52 ,15 ,17 ,11 ,19 ,14 ,12 ,18 ,18 ,12 ,14 ,8 ,3 ,: 
A;NR;BUS;PT,9 ,4 ,27 ,7 ,2 ,3 ,2 ,1 ,15 ,1 ,5 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
A;NR;BUS;RO,19 ,22 ,15 ,52 ,33 ,26 ,42 ,19 ,26 ,6 ,36 ,10 ,9 ,10 ,8 ,9 ,18 ,23 ,7 ,11 
A;NR;BUS;SE,1 ,0 ,6 ,5 ,10 ,4 ,1 ,10 ,6 ,1 ,0 ,2 ,2 ,2 ,1 ,2 ,0 ,1 ,4 ,0 
A;NR;BUS;SI,: ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,: ,: ,0 ,: ,: ,: ,: ,: 
A;NR;BUS;SK,: ,: ,1 ,0 ,16 ,3 ,8 ,4 ,8 ,4 ,12 ,0 ,: ,: ,: ,: ,: ,: ,: ,: 
A;NR;BUS;UK,26 ,29 ,42 ,26 ,29 ,28 ,21 ,28 ,14 ,14 ,16 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
A;NR;BUS_MIN;BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,: ,: ,0 ,2 ,1 ,0 ,0 ,0 
A;NR;BUS_MIN;BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 
A;NR;BUS_MIN;ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 
A;NR;BUS_MIN;IS,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NR;BUS_MIN;LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,0 ,0 ,: ,: ,: 
A;NR;BUS_MIN;LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NR;BUS_MIN;LV,: ,: ,: ,: ,: ,0 ,2 ,: ,: ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 
A;NR;BUS_MIN;MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 
A;NR;BUS_MIN;NO,: ,: ,0 ,0 ,1 ,1 ,1 ,0 ,1 ,1 ,0 ,2 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,: 
A;NR;BUS_MIN;UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,5 ,5 ,1 ,2 ,4 ,2 ,4 ,8 ,8 
A;NR;BUS_TOT;BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,: ,: ,5 ,1 ,1 ,0 ,0 ,0 
A;NR;BUS_TOT;CH,: ,: ,5 ,1 ,3 ,0 ,0 ,2 ,0 ,1 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,3 
A;NR;BUS_TOT;DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,1 ,0 ,0 ,0 ,3 ,0 ,0 
A;NR;BUS_TOT;FI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,1 ,0 ,0 ,0 ,2 ,5 
A;NR;BUS_TOT;HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2 ,: ,0 
A;NR;BUS_TOT;IS,: ,: ,: ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 
A;NR;BUS_TOT;IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2 ,1 ,7 ,47 ,4 ,3 ,3 ,17 ,1 
A;NR;BUS_TOT;LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,0 ,0 ,3 ,1 ,1 ,0 ,0 ,: ,: 
A;NR;BUS_TOT;PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,1 ,2 ,11 ,2 ,8 ,0 ,1 ,: 
A;NR;BUS_TOT;SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NR;BUS_TOT;UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,9 ,7 ,11 ,10 ,7 ,5 ,9 ,7 ,8 
A;NR;BUS_TRO;BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,1 ,0 
A;NR;BUS_TRO;CH,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,1 ,0 ,1 ,: 
A;NR;BUS_TRO;DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NR;BUS_TRO;EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 
A;NR;BUS_TRO;HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
A;NR;BUS_TRO;LV,: ,: ,: ,: ,: ,1 ,1 ,: ,: ,0 ,: ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NR;BUS_TRO;NO,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: 
A;NR;CAR;AT,615 ,549 ,570 ,524 ,524 ,480 ,432 ,384 ,378 ,367 ,325 ,291 ,289 ,282 ,194 ,191 ,241 ,191 ,182 ,181 
A;NR;CAR;BE,851 ,922 ,899 ,779 ,688 ,623 ,624 ,589 ,550 ,479 ,464 ,450 ,457 ,383 ,367 ,392 ,375 ,343 ,285 ,275 
A;NR;CAR;BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,623 ,570 ,478 ,398 ,335 ,367 ,379 ,396 ,456 ,369 ,341 
A;NR;CAR;CH,: ,: ,245 ,274 ,260 ,232 ,178 ,156 ,162 ,156 ,136 ,129 ,119 ,104 ,103 ,97 ,75 ,75 ,78 ,79 
A;NR;CAR;CY,: ,: ,: ,: ,: ,: ,45 ,32 ,37 ,26 ,24 ,19 ,31 ,18 ,16 ,15 ,24 ,10 ,14 ,15 
A;NR;CAR;CZ,775 ,784 ,715 ,759 ,798 ,779 ,679 ,567 ,661 ,573 ,497 ,403 ,404 ,368 ,308 ,347 ,365 ,328 ,279 ,333 
A;NR;CAR;DE,: ,4396 ,4023 ,4005 ,3774 ,3238 ,2833 ,2683 ,2625 ,2368 ,2110 ,1840 ,1986 ,1791 ,1588 ,1579 ,1624 ,1537 ,1437 ,1424 
A;NR;CAR;DK,271 ,235 ,242 ,246 ,236 ,186 ,169 ,138 ,168 ,196 ,164 ,135 ,106 ,81 ,79 ,89 ,74 ,96 ,99 ,65 
A;NR;CAR;EE,: ,: ,: ,: ,: ,: ,88 ,106 ,122 ,69 ,54 ,44 ,56 ,42 ,41 ,33 ,35 ,33 ,27 ,21 
A;NR;CAR;EL,886 ,922 ,803 ,793 ,761 ,775 ,816 ,722 ,771 ,708 ,680 ,545 ,474 ,383 ,347 ,289 ,314 ,340 ,285 ,267 
A;NR;CAR;ES,3186 ,3285 ,3140 ,3102 ,3212 ,2691 ,2390 ,2095 ,1817 ,1493 ,1258 ,1187 ,973 ,868 ,712 ,719 ,693 ,754 ,799 ,732 
A;NR;CAR;FI,251 ,224 ,262 ,267 ,217 ,221 ,231 ,203 ,241 ,202 ,165 ,159 ,172 ,147 ,152 ,121 ,159 ,150 ,133 ,146 
A;NR;CAR;FR,5454 ,5291 ,5284 ,4862 ,3685 ,3365 ,3065 ,2627 ,2466 ,2205 ,2162 ,2117 ,2062 ,1881 ,1615 ,1664 ,1796 ,1760 ,1767 ,1637 
A;NR;CAR;HR,: ,: ,: ,: ,: ,: ,: ,: ,309 ,303 ,284 ,205 ,215 ,186 ,195 ,141 ,164 ,148 ,187 ,154 
A;NR;CAR;HU,: ,: ,: ,: ,640 ,606 ,620 ,630 ,555 ,448 ,386 ,330 ,268 ,253 ,254 ,256 ,304 ,269 ,277 ,291 
A;NR;CAR;IE,236 ,262 ,231 ,202 ,174 ,205 ,222 ,226 ,171 ,160 ,146 ,129 ,95 ,89 ,107 ,103 ,89 ,106 ,: ,: 
A;NR;CAR;IS,: ,: ,: ,26 ,17 ,15 ,15 ,20 ,11 ,10 ,9 ,4 ,7 ,6 ,11 ,3 ,12 ,13 ,9 ,12 
A;NR;CAR;IT,3796 ,3850 ,3847 ,3653 ,3377 ,3032 ,2830 ,2781 ,2320 ,2115 ,1793 ,1832 ,1673 ,1695 ,1491 ,1497 ,1476 ,1477 ,1472 ,1423 
A;NR;CAR;LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,108 ,118 ,115 ,: ,: ,: 
A;NR;CAR;LU,49 ,54 ,51 ,52 ,33 ,27 ,38 ,23 ,27 ,20 ,26 ,27 ,21 ,22 ,30 ,24 ,16 ,19 ,13 ,19 
A;NR;CAR;LV,: ,: ,: ,: ,: ,228 ,201 ,182 ,203 ,167 ,116 ,91 ,78 ,72 ,71 ,91 ,85 ,71 ,59 ,70 
A;NR;CAR;MT,: ,: ,: ,: ,: ,: ,3 ,5 ,4 ,4 ,12 ,9 ,: ,: ,: ,: ,4 ,5 ,9 ,5 
A;NR;CAR;NL,540 ,513 ,477 ,479 ,483 ,398 ,337 ,323 ,299 ,299 ,288 ,219 ,209 ,218 ,180 ,171 ,214 ,225 ,194 ,245 
A;NR;CAR;NO,: ,: ,167 ,189 ,170 ,157 ,130 ,141 ,138 ,151 ,127 ,127 ,102 ,73 ,105 ,72 ,67 ,67 ,57 ,: 
A;NR;CAR;PL,: ,2710 ,2438 ,2548 ,2541 ,2459 ,2526 ,2392 ,2582 ,2540 ,2179 ,1853 ,1897 ,1615 ,1448 ,1346 ,1332 ,1417 ,1295 ,: 
A;NR;CAR;PT,816 ,730 ,638 ,706 ,627 ,536 ,493 ,370 ,415 ,355 ,298 ,367 ,331 ,255 ,214 ,223 ,214 ,225 ,204 ,: 
A;NR;CAR;RO,914 ,903 ,933 ,874 ,856 ,1012 ,1069 ,992 ,1096 ,1324 ,1168 ,973 ,780 ,798 ,721 ,724 ,787 ,785 ,812 ,737 
A;NR;CAR;SE,372 ,393 ,373 ,379 ,349 ,288 ,273 ,261 ,279 ,234 ,219 ,151 ,159 ,142 ,144 ,122 ,144 ,138 ,131 ,181 
A;NR;CAR;SI,: ,126 ,107 ,124 ,102 ,124 ,107 ,96 ,126 ,82 ,59 ,44 ,46 ,53 ,40 ,41 ,38 ,45 ,30 ,32 
A;NR;CAR;SK,: ,: ,304 ,304 ,306 ,283 ,294 ,282 ,293 ,292 ,182 ,171 ,: ,: ,: ,: ,: ,: ,: ,: 
A;NR;CAR;UK,1763 ,1770 ,1816 ,1832 ,1841 ,1757 ,1744 ,1687 ,1489 ,1312 ,1123 ,859 ,911 ,829 ,815 ,835 ,798 ,853 ,815 ,799 
A;NR;MCO;DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,2 ,8 ,1 ,1 ,18 ,2 
A;NR;MCO;FR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,42 ,4 ,12 ,3 
